time,altitude_deg,azimuth_deg,airmass,sun_altitude_deg,moon_altitude_deg,moon_separation_deg
2026-07-25T21:21:24.375000,-58.73,353.58,,-20.17,24.73,145.16
2026-07-25T21:36:24.375000,-58.88,0.8,,-22.22,24.41,145.17
2026-07-25T21:51:24.375000,-58.64,8.01,,-24.14,23.91,145.19
2026-07-25T22:06:24.375000,-58.04,15.05,,-25.93,23.24,145.2
2026-07-25T22:21:24.375000,-57.08,21.8,,-27.57,22.4,145.22
2026-07-25T22:36:24.375000,-55.8,28.17,,-29.05,21.4,145.24
2026-07-25T22:51:24.375000,-54.24,34.11,,-30.35,20.25,145.26
2026-07-25T23:06:24.375000,-52.43,39.6,,-31.47,18.95,145.28
2026-07-25T23:21:24.375000,-50.4,44.64,,-32.39,17.51,145.3
2026-07-25T23:36:24.375000,-48.19,49.28,,-33.11,15.94,145.32
2026-07-25T23:51:24.375000,-45.82,53.54,,-33.62,14.25,145.35
2026-07-26T00:06:24.375000,-43.33,57.46,,-33.9,12.45,145.38
2026-07-26T00:21:24.375000,-40.73,61.09,,-33.96,10.54,145.4
2026-07-26T00:36:24.375000,-38.04,64.47,,-33.8,8.54,145.43
2026-07-26T00:51:24.375000,-35.28,67.62,,-33.41,6.44,145.46
2026-07-26T01:06:24.375000,-32.46,70.58,,-32.81,4.27,145.5
2026-07-26T01:21:24.375000,-29.58,73.38,,-32.0,2.02,145.53
2026-07-26T01:36:24.375000,-26.67,76.04,,-30.99,-0.3,145.56
2026-07-26T01:51:24.375000,-23.72,78.59,,-29.78,-2.69,145.6
2026-07-26T02:06:24.375000,-20.74,81.04,,-28.39,-5.13,145.63
2026-07-26T02:21:24.375000,-17.75,83.42,,-26.84,-7.62,145.67
2026-07-26T02:36:24.375000,-14.74,85.74,,-25.13,-10.17,145.7
2026-07-26T02:51:24.375000,-11.72,88.02,,-23.28,-12.75,145.74
2026-07-26T03:06:24.375000,-8.7,90.26,,-21.3,-15.38,145.77
2026-07-26T03:21:24.375000,-5.67,92.49,,-19.2,-18.04,145.81
