time,altitude_deg,azimuth_deg,airmass,sun_altitude_deg,moon_altitude_deg,moon_separation_deg
2026-10-17T19:13:49.687500,44.42,64.71,1.429,-21.02,20.18,107.19
2026-10-17T19:28:49.687500,47.16,65.64,1.364,-24.03,18.76,107.11
2026-10-17T19:43:49.687500,49.92,66.48,1.307,-27.02,17.2,107.03
2026-10-17T19:58:49.687500,52.71,67.24,1.257,-29.99,15.51,106.94
2026-10-17T20:13:49.687500,55.5,67.88,1.213,-32.94,13.71,106.85
2026-10-17T20:28:49.687500,58.31,68.39,1.175,-35.85,11.81,106.76
2026-10-17T20:43:49.687500,61.12,68.73,1.142,-38.72,9.8,106.67
2026-10-17T20:58:49.687500,63.94,68.87,1.113,-41.54,7.7,106.57
2026-10-17T21:13:49.687500,66.76,68.72,1.088,-44.29,5.52,106.48
2026-10-17T21:28:49.687500,69.57,68.19,1.067,-46.96,3.26,106.37
2026-10-17T21:43:49.687500,72.37,67.09,1.049,-49.53,0.93,106.27
2026-10-17T21:58:49.687500,75.13,65.12,1.035,-51.98,-1.46,106.17
2026-10-17T22:13:49.687500,77.84,61.73,1.023,-54.27,-3.91,106.06
2026-10-17T22:28:49.687500,80.43,55.78,1.014,-56.39,-6.42,105.95
2026-10-17T22:43:49.687500,82.77,44.92,1.008,-58.28,-8.97,105.84
2026-10-17T22:58:49.687500,84.53,24.7,1.005,-59.91,-11.57,105.72
2026-10-17T23:13:49.687500,85.04,353.77,1.004,-61.23,-14.21,105.6
2026-10-17T23:28:49.687500,83.97,326.15,1.006,-62.2,-16.89,105.48
2026-10-17T23:43:49.687500,81.92,310.11,1.01,-62.77,-19.59,105.36
2026-10-17T23:58:49.687500,79.46,301.54,1.017,-62.93,-22.33,105.24
2026-10-18T00:13:49.687500,76.82,296.76,1.027,-62.66,-25.1,105.11
2026-10-18T00:28:49.687500,74.08,294.0,1.04,-61.97,-27.88,104.98
2026-10-18T00:43:49.687500,71.3,292.41,1.056,-60.9,-30.69,104.85
2026-10-18T00:58:49.687500,68.5,291.56,1.075,-59.49,-33.51,104.72
2026-10-18T01:13:49.687500,65.68,291.19,1.097,-57.78,-36.35,104.59
2026-10-18T01:28:49.687500,62.86,291.16,1.124,-55.82,-39.21,104.45
2026-10-18T01:43:49.687500,60.04,291.38,1.154,-53.65,-42.07,104.32
2026-10-18T01:58:49.687500,57.23,291.79,1.189,-51.31,-44.94,104.18
2026-10-18T02:13:49.687500,54.43,292.35,1.229,-48.83,-47.81,104.04
2026-10-18T02:28:49.687500,51.64,293.04,1.275,-46.23,-50.68,103.9
2026-10-18T02:43:49.687500,48.87,293.83,1.328,-43.54,-53.54,103.76
2026-10-18T02:58:49.687500,46.11,294.71,1.388,-40.77,-56.4,103.61
2026-10-18T03:13:49.687500,43.38,295.67,1.456,-37.94,-59.23,103.47
2026-10-18T03:28:49.687500,40.66,296.7,1.535,-35.06,-62.04,103.33
2026-10-18T03:43:49.687500,37.98,297.81,1.625,-32.14,-64.81,103.18
2026-10-18T03:58:49.687500,35.32,298.97,1.73,-29.19,-67.53,103.04
2026-10-18T04:13:49.687500,32.69,300.2,1.852,-26.21,-70.16,102.9
2026-10-18T04:28:49.687500,30.09,301.49,1.994,-23.22,-72.66,102.75
2026-10-18T04:43:49.687500,27.53,302.85,2.163,-20.22,-74.97,102.61
